tasks;valid;ngram;duration;length;assistant
1;0;0;5.166966666666666;19;Evaluated_Bluesky
3;0;0;1.5615833333333333;13;Evaluated_Bluesky
4;1;74;1.9211333333333334;14;Evaluated_Bluesky
5;2;129;1.7698333333333334;13;Evaluated_Bluesky
6;3;193;2.3893833333333334;14;Evaluated_Bluesky
7;4;265;2.0077333333333334;17;Evaluated_Bluesky
8;5;326;1.2771;14;Evaluated_Bluesky
9;6;438;2.951416666666667;24;Evaluated_Bluesky
10;7;484;1.4271833333333332;13;Evaluated_Bluesky
11;8;613;3.0136833333333333;24;Evaluated_Bluesky
12;9;652;2.4840666666666666;12;Evaluated_Bluesky
13;10;824;5.257616666666666;31;Evaluated_Bluesky
14;11;891;5.389183333333333;32;Evaluated_Bluesky
15;12;919;1.6219333333333332;16;Evaluated_Bluesky
16;13;1064;1.1882833333333334;10;Evaluated_Bluesky
17;14;1202;2.7398833333333332;28;Evaluated_Bluesky
18;15;1235;3.728466666666667;26;Evaluated_Bluesky
19;16;1296;3.08395;11;Evaluated_Bluesky
20;17;1352;7.200616666666667;13;Evaluated_Bluesky
21;18;1397;1.3958;13;Evaluated_Bluesky
22;19;1449;1.82435;14;Evaluated_Bluesky
23;20;1483;3.4013;14;Evaluated_Bluesky
24;21;1513;3.7045333333333335;11;Evaluated_Bluesky
25;21;1513;1.3865333333333334;10;Evaluated_Bluesky
26;21;1513;2.63585;9;Evaluated_Bluesky
27;21;1513;1.0792666666666666;8;Evaluated_Bluesky
28;22;1562;1.5267166666666667;8;Evaluated_Bluesky
29;23;1605;1.4851666666666667;12;Evaluated_Bluesky
30;24;1638;0.9650333333333333;11;Evaluated_Bluesky
31;25;1693;1.0461666666666667;10;Evaluated_Bluesky
32;26;1721;1.3521;13;Evaluated_Bluesky
33;26;1721;1.0184333333333333;10;Evaluated_Bluesky
34;26;1721;1.4081;12;Evaluated_Bluesky
35;26;1721;6.9945;18;Evaluated_Bluesky
36;26;1721;1.5942166666666666;8;Evaluated_Bluesky
37;26;1721;1.0590666666666666;10;Evaluated_Bluesky
38;26;1721;1.4602666666666666;11;Evaluated_Bluesky
39;27;1738;1.87145;12;Evaluated_Bluesky
40;27;1738;3.2964166666666666;13;Evaluated_Bluesky
41;27;1738;3.858833333333333;15;Evaluated_Bluesky
42;27;1738;5.2557;18;Evaluated_Bluesky
43;27;1738;5.269316666666667;19;Evaluated_Bluesky
44;27;1738;1.2312833333333333;8;Evaluated_Bluesky
45;27;1738;1.6669833333333333;10;Evaluated_Bluesky
46;27;1738;1.9458;11;Evaluated_Bluesky
47;27;1738;2.1569666666666665;12;Evaluated_Bluesky
48;27;1738;2.53855;13;Evaluated_Bluesky
49;27;1738;1.62735;8;Evaluated_Bluesky
50;28;1763;1.18915;10;Evaluated_Bluesky
51;29;1792;0.7750166666666667;9;Evaluated_Bluesky
52;30;1834;2.8958;14;Evaluated_Bluesky
53;31;1860;3.044783333333333;15;Evaluated_Bluesky
54;32;1885;1.8488166666666668;12;Evaluated_Bluesky
55;33;1937;1.82645;8;Evaluated_Bluesky
56;33;1937;1.1702;9;Evaluated_Bluesky
57;34;1963;1.2541166666666668;7;Evaluated_Bluesky
58;34;1963;0.7199666666666666;7;Evaluated_Bluesky
59;35;1989;0.8320166666666666;8;Evaluated_Bluesky
60;36;2015;0.9436;9;Evaluated_Bluesky
61;37;2041;0.9201166666666667;5;Evaluated_Bluesky
62;37;2041;0.29178333333333334;3;Evaluated_Bluesky
63;38;2067;1.4288166666666666;8;Evaluated_Bluesky
64;39;2092;1.0093333333333334;10;Evaluated_Bluesky
65;40;2112;1.0558666666666667;11;Evaluated_Bluesky
66;40;2112;0.8894666666666666;10;Evaluated_Bluesky
67;41;2137;1.04575;12;Evaluated_Bluesky
68;42;2170;1.1816;10;Evaluated_Bluesky
69;43;2203;1.37485;10;Evaluated_Bluesky
70;44;2223;1.45915;14;Evaluated_Bluesky
71;44;2223;0.7015833333333333;8;Evaluated_Bluesky
72;44;2223;1.6156166666666667;10;Evaluated_Bluesky
73;44;2223;0.9635666666666667;8;Evaluated_Bluesky
74;44;2223;1.0792;10;Evaluated_Bluesky
75;44;2223;0.8473166666666667;10;Evaluated_Bluesky
76;44;2223;0.7293;10;Evaluated_Bluesky
77;44;2223;0.4582833333333333;9;Evaluated_Bluesky
78;44;2223;0.5709666666666666;10;Evaluated_Bluesky
79;44;2223;0.6561666666666667;10;Evaluated_Bluesky
80;44;2223;0.6657166666666666;10;Evaluated_Bluesky
